StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,216140.92,246365.08,277529.5,323904.25,394474.33,481066.42,528956.5,507838.42,414550.08,336750.33,334564.58,316876.92,315159.42,374705.33,423537.5,446674.33,477828.92,509607.75,548828.42,559653.67,590486.83,678107.22
TX,113606.83,115076.25,117724.5,121222.08,127987.5,134064.83,138680.25,143993.67,143612.33,140288.58,139576.42,135166.08,135851.5,143405.75,154461.92,166426.25,177992.17,189696.33,200902.92,210543.58,218834.67,244605.33
NY,144003.5,155104.08,168794.5,186090.17,205301.5,227558.83,246019.25,250248.0,247111.5,235081.5,231977.33,225772.08,221672.08,225465.5,231760.67,235930.33,242179.5,252599.25,265755.42,276866.58,287664.83,320388.33
FL,124320.25,134449.92,147544.75,163878.58,187217.92,231301.83,278920.25,270280.33,224832.83,179846.67,163944.67,148851.42,148047.92,165002.58,184098.0,196987.5,213137.75,229845.58,246518.0,258582.08,271536.08,307903.0
IL,152451.67,164293.08,176535.25,189486.08,204223.5,221353.5,235999.25,238423.17,224152.08,198161.58,185215.17,169508.33,159326.25,164866.58,174817.42,179898.33,186416.75,195748.83,203436.0,207673.08,212218.92,231695.78
PA,108931.25,114669.0,121673.92,131418.33,143818.0,159901.83,174223.92,180138.25,178993.17,172876.5,172054.5,164801.92,161175.83,162890.0,165805.92,168355.92,172552.42,179216.33,189113.92,197322.08,207469.33,232272.78
OH,113130.58,118169.33,122016.42,126314.17,130884.33,134962.33,137415.58,136037.17,131543.08,125009.67,121891.67,115958.5,112965.17,114751.33,117342.67,121699.83,127063.08,134715.25,143561.67,152081.0,161854.33,181095.67
MI,125070.75,133410.75,139298.83,143975.5,149420.92,153670.08,154350.75,147063.33,131923.67,111802.17,103626.17,97169.0,98010.5,108610.33,121054.42,128018.92,136199.58,147356.0,159730.58,169905.17,180018.92,202475.89
GA,135224.33,144965.25,151797.5,156373.92,161077.5,167154.75,174051.83,178071.08,171193.25,153535.42,142862.58,129371.58,125462.33,135190.25,148209.75,156961.75,166163.75,176583.75,191749.33,204496.75,215895.67,243681.11
NC,137786.92,143212.75,146279.58,149066.5,152971.33,159237.75,168850.42,177235.5,178491.17,171255.25,165434.83,157857.83,153735.75,156233.83,161168.5,166099.5,173174.5,183583.08,195693.0,207300.5,219659.58,248242.22
NJ,198739.33,219502.75,247132.92,285393.25,324678.17,371931.42,408387.67,403322.08,378191.17,346285.17,334197.33,312971.83,296424.25,300728.25,312513.25,314707.92,317280.33,325921.25,340094.08,348055.67,362064.42,411254.56
VA,141581.25,153240.83,167500.25,185221.5,214468.17,259238.42,290391.5,289935.83,270075.17,248994.33,244263.42,236100.83,234876.58,243319.25,250656.75,253873.33,258569.42,267870.83,277581.25,288337.75,300716.17,329631.0
